ID,Тип респондента,Пол,Возраст,Род занятий,Вместительность и количество отделений,"Удобство и эргономичность (система лямок, вес)",Качество материалов и прочность,Дизайн и внешний вид,Функциональность (наличие дополнительных элементов),Водостойкость или влагозащита,Стоимость
1110,2,2,2,Студент вуза,5,4,3,2,4,2,5
1046,2,1,2,Студент вуза,4,5,4,3,4,4,3
1027,2,1,3,Студент вуза,5,4,5,5,5,3,4
25,1,2,1,Ученик средней или старшей школы,4,4,1,5,3,3,4
10,1,1,1,Ученик средней или старшей школы,5,3,4,5,4,1,5
1070,2,2,2,Студент вуза,3,5,5,2,4,2,4
2036,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,1,5,5,4
46,1,1,1,Ученик средней или старшей школы,4,4,4,5,3,3,2
1116,2,2,2,Студент вуза,5,5,4,4,4,4,3
1056,2,1,3,Студент вуза,5,4,4,2,4,2,5
2038,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,2,5,5,2
1104,2,2,2,Студент вуза,3,3,4,4,3,4,4
1048,2,2,2,Студент вуза,5,5,5,1,3,3,4
1004,2,1,2,Студент вуза,4,5,3,3,5,3,4
1142,2,1,2,Студент вуза,5,5,4,4,5,2,4
2010,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",4,4,5,2,4,4,2
1106,2,2,3,Студент вуза,4,5,5,3,5,3,4
1127,2,1,3,Студент вуза,5,5,4,4,5,1,4
1049,2,1,2,Студент вуза,4,5,4,2,4,3,4
1044,2,1,2,Студент вуза,5,5,4,3,5,3,4
61,1,2,1,Ученик средней или старшей школы,3,3,1,5,4,2,5
7,1,2,1,Ученик средней или старшей школы,5,3,2,5,3,3,3
31,1,1,1,Ученик средней или старшей школы,4,2,2,5,4,3,2
1139,2,1,3,Студент вуза,5,3,4,2,5,1,2
2014,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,1,5,5,5
1015,2,1,3,Студент вуза,4,5,4,1,3,2,3
67,1,1,1,Ученик средней или старшей школы,4,3,4,4,3,2,3
1075,2,2,3,Студент вуза,5,5,4,2,3,2,4
1028,2,1,2,Студент вуза,5,4,3,2,5,3,3
1090,2,2,3,Студент вуза,4,5,4,4,4,5,5
20,1,1,1,Ученик средней или старшей школы,5,4,3,5,4,3,4
68,1,2,1,Ученик средней или старшей школы,5,1,3,5,3,3,4
1045,2,2,2,Студент вуза,5,5,5,1,3,2,3
1035,2,1,3,Студент вуза,5,5,5,3,5,3,5
1081,2,2,3,Студент вуза,4,3,5,1,4,3,3
1013,2,1,3,Студент вуза,4,5,3,3,4,5,3
1144,2,2,2,Студент вуза,4,5,4,3,4,3,3
16,1,2,1,Ученик средней или старшей школы,3,5,3,5,4,1,2
47,1,1,1,Ученик средней или старшей школы,5,1,2,4,5,2,5
2017,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,1,5,5,4
2023,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,4,3,5,5,4
34,1,2,1,Ученик средней или старшей школы,4,2,3,5,5,1,4
1085,2,2,2,Студент вуза,5,5,4,3,4,3,4
1008,2,1,3,Студент вуза,4,5,4,4,4,4,5
2025,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,4,4,2
17,1,1,1,Ученик средней или старшей школы,5,3,3,5,4,4,4
11,1,2,1,Ученик средней или старшей школы,4,3,3,5,2,3,5
1083,2,1,2,Студент вуза,4,4,4,1,4,4,2
1010,2,2,3,Студент вуза,4,4,5,2,4,2,4
1032,2,1,2,Студент вуза,3,4,5,2,3,3,4
2044,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,5,5,3
26,1,1,1,Ученик средней или старшей школы,5,4,4,5,3,3,5
1009,2,1,3,Студент вуза,5,5,4,1,4,4,4
1103,2,1,3,Студент вуза,5,4,3,2,4,1,4
2013,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,5,5,3
19,1,2,1,Ученик средней или старшей школы,3,3,3,5,4,2,3
1021,2,2,2,Студент вуза,5,3,3,4,5,2,3
1113,2,1,2,Студент вуза,5,5,4,3,3,3,4
1006,2,2,2,Студент вуза,4,5,5,4,4,3,4
1086,2,1,3,Студент вуза,5,5,4,3,5,5,4
1050,2,2,3,Студент вуза,4,5,4,3,4,3,3
1114,2,2,3,Студент вуза,4,4,5,3,4,3,3
2035,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,5,5,3
1095,2,1,3,Студент вуза,3,4,3,3,4,2,4
69,1,2,1,Ученик средней или старшей школы,3,5,2,5,2,2,3
2020,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,5,5,5
56,1,2,1,Ученик средней или старшей школы,5,3,5,5,4,3,4
1017,2,2,2,Студент вуза,5,5,5,3,5,3,4
2042,3,1,2,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,5
39,1,2,1,Ученик средней или старшей школы,5,3,4,5,3,1,3
1077,2,1,3,Студент вуза,5,5,3,5,3,3,4
1109,2,2,2,Студент вуза,3,5,3,1,5,3,5
2018,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,4,5,5
1126,2,2,2,Студент вуза,3,5,4,3,3,5,4
1055,2,2,3,Студент вуза,5,5,5,5,4,5,4
1042,2,1,2,Студент вуза,4,5,3,4,3,3,4
1040,2,2,2,Студент вуза,4,5,4,4,4,3,3
1128,2,1,2,Студент вуза,4,5,3,3,4,1,2
1072,2,1,2,Студент вуза,5,5,5,4,4,1,4
1147,2,1,3,Студент вуза,3,5,4,2,3,4,4
1073,2,2,2,Студент вуза,5,4,3,1,5,2,3
1023,2,2,2,Студент вуза,5,3,4,3,5,3,5
1111,2,1,2,Студент вуза,4,5,4,5,5,3,5
2003,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",3,5,5,2,5,5,4
1078,2,1,2,Студент вуза,5,5,4,4,3,3,3
70,1,2,1,Ученик средней или старшей школы,4,4,4,5,3,1,5
3,1,2,1,Ученик средней или старшей школы,5,3,3,5,3,1,3
1007,2,2,3,Студент вуза,4,4,4,3,4,4,3
2039,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,3
1130,2,2,2,Студент вуза,3,4,4,1,3,3,4
1067,2,2,2,Студент вуза,5,5,5,5,4,5,3
2019,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,2,5,5,3
1123,2,1,2,Студент вуза,4,4,5,3,5,2,3
1132,2,1,2,Студент вуза,3,5,3,5,5,3,3
1005,2,2,2,Студент вуза,4,5,3,2,3,3,2
1071,2,1,3,Студент вуза,5,5,5,3,5,1,5
30,1,1,1,Ученик средней или старшей школы,5,4,4,4,3,1,4
1133,2,1,2,Студент вуза,5,5,4,3,4,4,2
1112,2,2,2,Студент вуза,4,5,5,3,3,2,3
1051,2,1,2,Студент вуза,5,4,5,2,4,4,2
2001,3,2,2,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,4,4,4,3
6,1,1,1,Ученик средней или старшей школы,4,2,3,5,5,1,4
57,1,2,1,Ученик средней или старшей школы,4,2,3,5,4,1,4
1074,2,2,2,Студент вуза,5,5,5,3,4,4,3
1096,2,2,2,Студент вуза,5,5,4,4,4,2,5
1068,2,2,2,Студент вуза,5,5,5,1,4,2,2
66,1,1,1,Ученик средней или старшей школы,4,4,4,5,5,4,4
2031,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,4,2,5,4,4
1016,2,1,3,Студент вуза,4,4,4,5,4,5,3
2012,3,1,2,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,2,5,5,4
1093,2,2,2,Студент вуза,3,5,3,3,5,4,3
32,1,1,1,Ученик средней или старшей школы,3,3,1,5,3,3,4
13,1,2,1,Ученик средней или старшей школы,4,4,3,5,4,3,3
36,1,2,1,Ученик средней или старшей школы,4,2,5,5,4,1,4
29,1,1,1,Ученик средней или старшей школы,4,4,3,4,4,2,3
43,1,1,1,Ученик средней или старшей школы,5,2,1,5,2,3,5
1063,2,2,2,Студент вуза,4,4,5,4,5,2,3
1039,2,1,2,Студент вуза,4,5,3,3,4,4,5
1057,2,1,2,Студент вуза,5,4,4,3,4,2,4
23,1,2,1,Ученик средней или старшей школы,4,3,4,5,5,2,5
1098,2,2,3,Студент вуза,4,5,5,2,4,3,4
1024,2,2,3,Студент вуза,5,5,4,5,4,2,4
1115,2,1,2,Студент вуза,5,5,5,4,4,5,5
1058,2,1,2,Студент вуза,3,5,4,5,5,3,5
52,1,1,1,Ученик средней или старшей школы,4,3,1,4,3,3,5
1043,2,1,2,Студент вуза,4,4,4,3,5,4,3
1079,2,1,3,Студент вуза,5,4,3,3,4,5,5
1026,2,1,3,Студент вуза,5,5,5,3,5,3,4
2026,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,4,5,4,4
2011,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,1,5,5,3
42,1,2,1,Ученик средней или старшей школы,4,3,3,5,3,1,4
1136,2,2,2,Студент вуза,5,5,4,5,5,2,4
1143,2,2,3,Студент вуза,5,4,4,4,5,2,4
27,1,1,1,Ученик средней или старшей школы,5,4,4,5,2,3,2
2040,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,1,5,5,3
2033,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",5,4,4,1,5,5,3
1,1,1,1,Ученик средней или старшей школы,3,4,3,4,4,2,3
1148,2,1,3,Студент вуза,4,5,5,1,3,3,5
1031,2,2,2,Студент вуза,4,4,4,4,3,2,4
1125,2,2,3,Студент вуза,5,5,3,2,3,3,5
1121,2,2,2,Студент вуза,5,3,4,5,3,3,3
1029,2,1,2,Студент вуза,5,4,4,2,3,2,2
37,1,1,1,Ученик средней или старшей школы,5,4,4,5,4,4,4
62,1,2,1,Ученик средней или старшей школы,4,5,4,5,4,3,4
1108,2,2,3,Студент вуза,5,4,5,3,3,1,4
1101,2,2,3,Студент вуза,3,5,4,5,3,4,4
12,1,2,1,Ученик средней или старшей школы,4,5,3,5,4,3,3
2043,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,5,5,4
1146,2,1,2,Студент вуза,5,5,5,3,5,3,3
28,1,1,1,Ученик средней или старшей школы,3,5,4,4,5,3,3
1099,2,2,2,Студент вуза,4,4,4,1,4,3,4
5,1,1,1,Ученик средней или старшей школы,4,4,1,4,3,3,5
1053,2,2,3,Студент вуза,3,5,3,1,5,4,3
33,1,1,1,Ученик средней или старшей школы,4,4,2,5,3,1,3
1089,2,2,2,Студент вуза,5,4,3,2,4,3,2
1124,2,2,2,Студент вуза,5,5,5,3,4,3,4
1069,2,2,2,Студент вуза,4,5,5,1,5,3,5
63,1,2,1,Ученик средней или старшей школы,3,5,3,5,4,1,4
1066,2,2,3,Студент вуза,5,5,4,3,3,2,4
1059,2,2,2,Студент вуза,4,5,4,2,5,3,4
2028,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,1,5,5,3
1137,2,1,3,Студент вуза,5,5,4,2,4,3,3
1001,2,1,2,Студент вуза,5,5,5,4,5,3,4
1140,2,1,3,Студент вуза,4,5,3,3,4,3,4
65,1,2,1,Ученик средней или старшей школы,4,3,4,5,2,1,4
45,1,2,1,Ученик средней или старшей школы,4,4,4,5,3,2,3
1107,2,1,2,Студент вуза,4,4,4,3,4,3,4
1087,2,1,3,Студент вуза,5,5,4,2,5,2,2
41,1,1,1,Ученик средней или старшей школы,3,1,2,5,4,3,3
1054,2,1,2,Студент вуза,5,5,5,3,3,2,4
1084,2,1,2,Студент вуза,4,5,5,4,4,4,4
24,1,1,1,Ученик средней или старшей школы,3,5,3,5,5,2,3
1135,2,2,2,Студент вуза,5,4,5,2,4,3,5
1131,2,2,2,Студент вуза,5,4,5,3,3,3,5
1012,2,2,3,Студент вуза,5,5,4,3,5,3,2
40,1,2,1,Ученик средней или старшей школы,4,3,3,5,5,3,4
2007,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,5
48,1,2,1,Ученик средней или старшей школы,4,2,3,4,5,1,5
1025,2,1,3,Студент вуза,5,4,4,5,5,1,4
2008,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,3,4,5,2
1092,2,1,2,Студент вуза,5,3,4,2,3,4,3
44,1,1,1,Ученик средней или старшей школы,5,4,2,5,3,3,4
1076,2,2,2,Студент вуза,4,5,5,2,4,2,3
1117,2,2,3,Студент вуза,4,5,3,5,4,4,4
4,1,1,1,Ученик средней или старшей школы,5,4,3,4,4,2,3
1036,2,2,2,Студент вуза,5,5,3,1,4,2,5
54,1,1,1,Ученик средней или старшей школы,4,5,3,5,3,4,4
1064,2,2,3,Студент вуза,4,4,5,3,5,5,5
2029,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,5,5,3
1141,2,1,2,Студент вуза,5,5,3,2,5,1,4
2034,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,4,4,4
50,1,1,1,Ученик средней или старшей школы,4,4,1,5,5,2,5
1094,2,1,2,Студент вуза,5,4,3,3,5,3,3
1011,2,2,3,Студент вуза,4,3,4,3,5,2,3
35,1,2,1,Ученик средней или старшей школы,4,4,3,5,3,3,4
2004,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,4,5,1,5,4,3
8,1,1,1,Ученик средней или старшей школы,5,4,1,5,4,1,2
1102,2,2,2,Студент вуза,5,5,3,1,4,3,4
1129,2,1,2,Студент вуза,5,5,4,1,5,5,3
2009,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,4,4,5,4,3
1041,2,2,2,Студент вуза,5,5,4,5,3,4,2
1022,2,2,3,Студент вуза,4,5,5,3,4,4,2
1014,2,1,3,Студент вуза,4,5,3,1,4,2,3
2024,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",3,5,5,1,5,4,5
2030,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",3,5,5,1,4,4,4
1020,2,2,2,Студент вуза,4,4,4,3,5,3,4
9,1,1,1,Ученик средней или старшей школы,4,5,1,5,4,1,5
14,1,2,1,Ученик средней или старшей школы,5,5,3,5,4,3,4
60,1,1,1,Ученик средней или старшей школы,4,4,2,4,4,3,4
2015,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,1,5,5,2
1062,2,1,3,Студент вуза,4,5,4,2,5,5,5
18,1,1,1,Ученик средней или старшей школы,4,5,2,4,3,3,5
1097,2,1,2,Студент вуза,4,5,4,3,5,5,5
1003,2,2,3,Студент вуза,5,4,4,2,4,3,5
2021,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,3
1065,2,1,2,Студент вуза,5,3,4,4,4,2,4
2002,3,2,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,3,4,5,4
2032,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,4,4,4
64,1,2,1,Ученик средней или старшей школы,3,4,3,5,4,2,3
55,1,1,1,Ученик средней или старшей школы,4,4,3,5,3,3,3
1038,2,2,2,Студент вуза,5,5,5,3,3,3,4
51,1,2,1,Ученик средней или старшей школы,5,4,1,5,5,2,3
2005,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,3,5,5,4
1105,2,2,2,Студент вуза,3,5,4,3,3,3,5
2006,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,2,4,5,4
1120,2,2,3,Студент вуза,5,5,3,5,4,2,3
15,1,2,1,Ученик средней или старшей школы,4,5,2,5,4,1,3
1138,2,2,3,Студент вуза,5,5,4,3,5,3,5
2022,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,5,5,4,5,5,4
1150,2,1,2,Студент вуза,4,3,4,3,4,1,4
1100,2,1,3,Студент вуза,4,4,4,3,4,5,4
59,1,2,1,Ученик средней или старшей школы,5,5,5,5,3,4,4
1149,2,1,2,Студент вуза,4,4,4,3,3,5,5
49,1,1,1,Ученик средней или старшей школы,4,2,4,5,2,3,3
1019,2,2,2,Студент вуза,3,5,5,4,5,2,4
2027,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,4,4,5,4
22,1,2,1,Ученик средней или старшей школы,4,2,5,5,5,1,4
58,1,1,1,Ученик средней или старшей школы,5,3,3,4,4,4,5
1134,2,1,2,Студент вуза,4,4,4,3,5,3,5
1091,2,2,3,Студент вуза,5,4,4,5,5,2,2
2041,3,1,3,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,2,5,5,3
1118,2,2,2,Студент вуза,4,4,4,3,3,1,4
1122,2,2,3,Студент вуза,5,4,4,3,4,2,5
1060,2,2,3,Студент вуза,5,5,4,3,5,2,3
38,1,1,1,Ученик средней или старшей школы,5,4,3,5,4,1,3
1088,2,1,2,Студент вуза,5,5,4,5,3,3,3
2016,3,1,4,"Турист, альпинист, инструктор по outdoor-активностям",4,5,5,2,5,5,4
2037,3,1,2,"Турист, альпинист, инструктор по outdoor-активностям",5,4,5,3,5,5,3
2,1,2,1,Ученик средней или старшей школы,4,3,5,5,3,3,3
53,1,1,1,Ученик средней или старшей школы,5,5,3,4,4,3,4
1080,2,2,3,Студент вуза,3,4,5,3,4,2,4
1061,2,1,3,Студент вуза,4,3,5,3,4,2,4
1082,2,1,3,Студент вуза,4,5,4,3,4,3,3
1034,2,2,3,Студент вуза,5,3,5,3,4,2,3
1030,2,1,2,Студент вуза,5,4,5,4,4,4,2
1047,2,1,3,Студент вуза,4,5,4,4,3,4,5
1018,2,1,2,Студент вуза,5,5,4,2,5,5,5
1145,2,2,2,Студент вуза,5,4,3,3,4,4,4
1052,2,1,2,Студент вуза,5,3,5,5,4,1,3
2045,3,2,4,"Турист, альпинист, инструктор по outdoor-активностям",5,5,4,1,5,5,4
21,1,1,1,Ученик средней или старшей школы,4,2,4,4,3,1,2
1119,2,1,2,Студент вуза,5,4,4,5,4,3,3
1002,2,2,3,Студент вуза,4,5,5,3,4,2,4
1037,2,1,3,Студент вуза,5,5,3,5,4,4,4
1033,2,1,2,Студент вуза,5,5,4,3,3,4,5
